vendor_id,legal_name,trading_name,vendor_type,country,market,currency,tax_id,registration_id,primary_contact,contact_email,payment_terms,incoterms,lead_time_days,minimum_order_quantity,return_terms,bank_information_status,document_type,document_status,document_issue_date,document_expiry_date,insurance_status,ethical_trade_status,sustainability_status,vendor_authorization,submitted_at,onboarding_owner,compliance_owner,commercial_owner,lifecycle_status,revision_number,source_business_unit,planned_purchase_value,value_currency,planned_item_count,strategic_tier,planned_launch_date,downstream_dependency,approved_at
VENDOR-DEMO-0012,Fictional Supplier 0012,Fictional Supplier 0012,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0012,DEMO-NOT-VALID-REG-0012,Fictional Contact 12,demo12@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0013,Fictional Supplier 0013,Fictional Supplier 0013,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0013,DEMO-NOT-VALID-REG-0013,Fictional Contact 13,demo13@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0014,Fictional Supplier 0014,Fictional Supplier 0014,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0014,DEMO-NOT-VALID-REG-0014,Fictional Contact 14,demo14@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0015,Fictional Supplier 0015,Fictional Supplier 0015,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0015,DEMO-NOT-VALID-REG-0015,Fictional Contact 15,demo15@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0016,Fictional Supplier 0016,Fictional Supplier 0016,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0016,DEMO-NOT-VALID-REG-0016,Fictional Contact 16,demo16@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0017,Fictional Supplier 0017,Fictional Supplier 0017,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0017,DEMO-NOT-VALID-REG-0017,Fictional Contact 17,demo17@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0018,Fictional Supplier 0018,Fictional Supplier 0018,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0018,DEMO-NOT-VALID-REG-0018,Fictional Contact 18,demo18@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0019,Fictional Supplier 0019,Fictional Supplier 0019,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0019,DEMO-NOT-VALID-REG-0019,Fictional Contact 19,demo19@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0020,Fictional Supplier 0020,Fictional Supplier 0020,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0020,DEMO-NOT-VALID-REG-0020,Fictional Contact 20,demo20@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0021,Fictional Supplier 0021,Fictional Supplier 0021,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0021,DEMO-NOT-VALID-REG-0021,Fictional Contact 21,demo21@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0022,Fictional Supplier 0022,Fictional Supplier 0022,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0022,DEMO-NOT-VALID-REG-0022,Fictional Contact 22,demo22@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0023,Fictional Supplier 0023,Fictional Supplier 0023,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0023,DEMO-NOT-VALID-REG-0023,Fictional Contact 23,demo23@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0024,Fictional Supplier 0024,Fictional Supplier 0024,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0024,DEMO-NOT-VALID-REG-0024,Fictional Contact 24,demo24@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0025,Fictional Supplier 0025,Fictional Supplier 0025,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0025,DEMO-NOT-VALID-REG-0025,Fictional Contact 25,demo25@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0026,Fictional Supplier 0026,Fictional Supplier 0026,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0026,DEMO-NOT-VALID-REG-0026,Fictional Contact 26,demo26@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0027,Fictional Supplier 0027,Fictional Supplier 0027,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0027,DEMO-NOT-VALID-REG-0027,Fictional Contact 27,demo27@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0028,Fictional Supplier 0028,Fictional Supplier 0028,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0028,DEMO-NOT-VALID-REG-0028,Fictional Contact 28,demo28@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0029,Fictional Supplier 0029,Fictional Supplier 0029,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0029,DEMO-NOT-VALID-REG-0029,Fictional Contact 29,demo29@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0030,Fictional Supplier 0030,Fictional Supplier 0030,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0030,DEMO-NOT-VALID-REG-0030,Fictional Contact 30,demo30@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0031,Fictional Supplier 0031,Fictional Supplier 0031,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0031,DEMO-NOT-VALID-REG-0031,Fictional Contact 31,demo31@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0032,Fictional Supplier 0032,Fictional Supplier 0032,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0032,DEMO-NOT-VALID-REG-0032,Fictional Contact 32,demo32@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0033,Fictional Supplier 0033,Fictional Supplier 0033,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0033,DEMO-NOT-VALID-REG-0033,Fictional Contact 33,demo33@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0034,Fictional Supplier 0034,Fictional Supplier 0034,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0034,DEMO-NOT-VALID-REG-0034,Fictional Contact 34,demo34@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0035,Fictional Supplier 0035,Fictional Supplier 0035,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0035,DEMO-NOT-VALID-REG-0035,Fictional Contact 35,demo35@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0036,Fictional Supplier 0036,Fictional Supplier 0036,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0036,DEMO-NOT-VALID-REG-0036,Fictional Contact 36,demo36@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0037,Fictional Supplier 0037,Fictional Supplier 0037,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0037,DEMO-NOT-VALID-REG-0037,Fictional Contact 37,demo37@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0038,Fictional Supplier 0038,Fictional Supplier 0038,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0038,DEMO-NOT-VALID-REG-0038,Fictional Contact 38,demo38@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0039,Fictional Supplier 0039,Fictional Supplier 0039,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0039,DEMO-NOT-VALID-REG-0039,Fictional Contact 39,demo39@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0040,Fictional Supplier 0040,Fictional Supplier 0040,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0040,DEMO-NOT-VALID-REG-0040,Fictional Contact 40,demo40@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0041,Fictional Supplier 0041,Fictional Supplier 0041,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0041,DEMO-NOT-VALID-REG-0041,Fictional Contact 41,demo41@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0042,Fictional Supplier 0042,Fictional Supplier 0042,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0042,DEMO-NOT-VALID-REG-0042,Fictional Contact 42,demo42@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0043,Fictional Supplier 0043,Fictional Supplier 0043,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0043,DEMO-NOT-VALID-REG-0043,Fictional Contact 43,demo43@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0044,Fictional Supplier 0044,Fictional Supplier 0044,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0044,DEMO-NOT-VALID-REG-0044,Fictional Contact 44,demo44@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0045,Fictional Supplier 0045,Fictional Supplier 0045,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0045,DEMO-NOT-VALID-REG-0045,Fictional Contact 45,demo45@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0046,Fictional Supplier 0046,Fictional Supplier 0046,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0046,DEMO-NOT-VALID-REG-0046,Fictional Contact 46,demo46@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0047,Fictional Supplier 0047,Fictional Supplier 0047,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0047,DEMO-NOT-VALID-REG-0047,Fictional Contact 47,demo47@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0048,Fictional Supplier 0048,Fictional Supplier 0048,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0048,DEMO-NOT-VALID-REG-0048,Fictional Contact 48,demo48@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0049,Fictional Supplier 0049,Fictional Supplier 0049,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0049,DEMO-NOT-VALID-REG-0049,Fictional Contact 49,demo49@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0050,Fictional Supplier 0050,Fictional Supplier 0050,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0050,DEMO-NOT-VALID-REG-0050,Fictional Contact 50,demo50@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0051,Fictional Supplier 0051,Fictional Supplier 0051,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0051,DEMO-NOT-VALID-REG-0051,Fictional Contact 51,demo51@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0052,Fictional Supplier 0052,Fictional Supplier 0052,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0052,DEMO-NOT-VALID-REG-0052,Fictional Contact 52,demo52@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0053,Fictional Supplier 0053,Fictional Supplier 0053,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0053,DEMO-NOT-VALID-REG-0053,Fictional Contact 53,demo53@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
